,specie link,name,synonyms,genera,genera link,spores 1d lower,spores 2d lower,pileus width lower,stipes long lower,stipes thick lower,spores 1d upper,spores 2d upper,pileus width upper,stipes long upper,stipes thick upper
114,http://www.mushroomexpert.com/russula_fragrantissima.html,Russula fragrantissima,"['Russula laurocerasi', 'fragrantissima']",Russula  ,https://www.mykoweb.com/CAF/genera/Russula.html,0.06,0.06,750.0,700.0,150.0,0.09,0.08,2000.0,1500.0,600.0
115,https://www.mykoweb.com/CAF/species/Russula_olivacea.html,Russula olivacea,[],Russula  ,https://www.mykoweb.com/CAF/genera/Russula.html,0.085,0.075,800.0,800.0,200.0,0.105,0.09,1600.0,1300.0,350.0
116,https://www.mykoweb.com/CAF/species/Russula_silvicola.html,Russula silvicola,['Russula emetica'],Russula  ,https://www.mykoweb.com/CAF/genera/Russula.html,0.067,0.057,400.0,400.0,100.0,0.105,0.086,900.0,1000.0,300.0
117,https://www.mykoweb.com/CAF/species/Suillus_pungens.html,Suillus pungens,[],Suillus  ,https://www.mykoweb.com/CAF/genera/Suillus.html,0.09,0.03,500.0,300.0,150.0,0.1,0.035,1300.0,800.0,200.0
118,https://www.mykoweb.com/CAF/species/Suillus_brevipes.html,Suillus brevipes,['Boletus brevipes'],Suillus  ,https://www.mykoweb.com/CAF/genera/Suillus.html,0.075,0.03,350.0,150.0,150.0,0.1,0.045,1000.0,600.0,350.0
119,https://www.mykoweb.com/CAF/species/Suillus_caerulescens.html,Suillus caerulescens,[],Suillus  ,https://www.mykoweb.com/CAF/genera/Suillus.html,0.065,0.03,600.0,200.0,100.0,0.095,0.04,1300.0,700.0,350.0
120,https://www.mykoweb.com/CAF/species/Suillus_fuscotomentosus.html,Suillus fuscotomentosus,[],Suillus  ,https://www.mykoweb.com/CAF/genera/Suillus.html,0.095,0.035,400.0,400.0,200.0,0.115,0.045,1500.0,700.0,350.0
121,https://www.mykoweb.com/CAF/species/Suillus_lakei.html,Suillus lakei,"['Boletus lakei', 'Boletinus lakei']",Suillus  ,https://www.mykoweb.com/CAF/genera/Suillus.html,0.075,0.03,400.0,300.0,150.0,0.1,0.04,1200.0,700.0,250.0
122,https://www.mykoweb.com/CAF/species/Suillus_megaporinus.html,Suillus megaporinus,[],Suillus  ,https://www.mykoweb.com/CAF/genera/Suillus.html,0.07,0.035,200.0,100.0,50.0,0.1,0.04,700.0,200.0,100.0
123,https://www.mykoweb.com/CAF/species/Suillus_tomentosus.html,Suillus tomentosus,['Boletus tomentosus'],Suillus  ,https://www.mykoweb.com/CAF/genera/Suillus.html,0.08,0.03,500.0,500.0,150.0,0.11,0.04,1100.0,900.0,300.0
124,https://www.mykoweb.com/CAF/species/Suillus_umbonatus.html,Suillus umbonatus,[],Suillus  ,https://www.mykoweb.com/CAF/genera/Suillus.html,0.08,0.035,200.0,200.0,50.0,0.1,0.04,800.0,500.0,100.0
125,https://www.mykoweb.com/CAF/species/Suillus_volcanalis.html,Suillus volcanalis,[],Suillus  ,https://www.mykoweb.com/CAF/genera/Suillus.html,0.07,0.03,800.0,400.0,200.0,0.1,0.035,1500.0,600.0,450.0
126,https://www.mykoweb.com/CAF/species/Tricholoma_atroviolaceum.html,Tricholoma atroviolaceum,[],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.075,0.05,350.0,400.0,150.0,0.09,0.06,900.0,800.0,300.0
127,https://www.mykoweb.com/CAF/species/Tricholoma_dryophilum.html,Tricholoma dryophilum,[],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.05,0.04,500.0,600.0,100.0,0.06,0.0425,1500.0,1300.0,450.0
128,https://www.mykoweb.com/CAF/species/Tricholoma_fracticum.html,Tricholoma fracticum,[],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.055,0.04,500.0,300.0,150.0,0.075,0.055,1000.0,800.0,250.0
129,https://www.mykoweb.com/CAF/species/Tricholoma_griseoviolaceum.html,Tricholoma griseoviolaceum,[],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.05,0.035,400.0,600.0,100.0,0.07,0.05,1100.0,1400.0,200.0
130,https://www.mykoweb.com/CAF/species/Tricholoma_imbricatum.html,Tricholoma imbricatum,[],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.055,0.04,600.0,500.0,200.0,0.07,0.05,1500.0,1000.0,350.0
131,https://www.mykoweb.com/CAF/species/Tricholoma_moseri.html,Tricholoma moseri,[],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.065,0.035,200.0,200.0,50.0,0.1,0.05,450.0,500.0,100.0
132,https://www.mykoweb.com/CAF/species/Tricholoma_muricatum.html,Tricholoma muricatum,['Tricholoma pessundatum'],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.045,0.03,500.0,300.0,100.0,0.06,0.035,1200.0,600.0,350.0
133,https://www.mykoweb.com/CAF/species/Tricholoma_saponaceum.html,Tricholoma saponaceum,[],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.05,0.035,400.0,450.0,150.0,0.065,0.045,900.0,800.0,200.0
134,http://www.mushroomexpert.com/tricholoma_sejunctum.html,Tricholoma sejunctum,[],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.05,0.035,400.0,300.0,100.0,0.08,0.055,900.0,1000.0,150.0
135,https://www.mykoweb.com/CAF/species/Tricholoma_vernaticum.html,Tricholoma vernaticum,['Armillaria olida'],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.085,0.04,400.0,500.0,200.0,0.11,0.06,1400.0,1300.0,350.0
136,https://www.mykoweb.com/CAF/species/Tricholoma_myomyces.html,Tricholoma myomyces,['Tricholoma myomyces var. cystidiotum '],Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.05,0.035,150.0,250.0,50.0,0.075,0.045,500.0,500.0,100.0
